Dutch,English
ik,I
je,you
het,It
de,the
dat,that
is,is
een,An
niet,not 
en,and
wat,what
van,by
we,we
in,in
ze,she
hij,he
op,on
te,at
zijn,are
er,there
maar,but
die,that
heb,have
me,me
met,of
voor,for
als,as
ben,am
was,was
dit,this
mijn,mine
om,to
aan,On
jij,you
naar,Unpleasant
dan,than
hier,here
weet,knows
kan,can
geen,no
nog,yet
moet,must
wil,want to
wel,well
ja,Yes
zo,Like this
heeft,has
hebben,to have
hem,it
goed,Good
nee,no
waar,Where
nu,now
hoe,how
ga,go
haar,her
uit,out 
doen,doing
ook,also
over,about
bent,are
mij,me
gaan,to go
of,or
kom,come
zou,would
al,all
bij,bee
daar,there
ons,us
jullie,you
hebt,have
gaat,go
iets,something
zal,shall
meer,more
waarom,Why
had,had
deze,this
laat,leave
moeten,must
m'n,my
jou,you
doe,do
wie,Who
kunnen,be able to
alles,everything
denk,think
door,Through
echt,Real
alleen,only
oké,okay
eens,at sometime
dus,so
weg,road
zien,to see
toch,anyway
man,man
nooit,never
terug,back
laten,to leave
